Year,Player,Position,Team,Salary,Length of Contract,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_1,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
2012-2013,Stephen Curry,Guard,Golden State Warriors,"$9,887,642",4,24,78,78,38.2,8,17.8,0.451,3.5,7.7,0.453,4.5,10.1,0.449,3.4,3.7,0.9,0.8,3.3,4,6.9,1.6,0.2,3.1,2.5,22.9,2983,21.3,0.589,0.549,0.21,0.432,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,115,107,8.4,2.8,11.2,0.18
2012-2013,Marreese Speights,Center,Golden State Warriors,"$3,500,000",3,25,79,3,16.5,3.3,7.4,0.445,0,0.1,0.3,3.3,7.3,0.448,1.7,2.2,0.771,1.8,3,4.9,0.6,0.3,0.7,1,2.2,8.3,1300,17.3,0.498,0.448,0.3,0.017,12.7,22.3,17.4,6.5,1,3.3,10.8,25.8,103,104,1.1,1.7,2.8,0.104
2012-2013,Jermaine O'Neal,Center,Golden State Warriors,"$2,000,000",1,34,55,4,18.7,3.3,6.7,0.482,0,0,0,3.3,6.7,0.482,1.7,2.1,0.835,1.5,3.8,5.3,0.8,0.3,1.4,1.3,2.3,8.3,1029,16.7,0.538,0.482,0.31,0,8.9,23.8,16.2,6.8,0.9,5.7,14.8,21.4,103,104,0.7,1.3,2,0.092
2012-2013,Toney Douglas,Guard,Golden State Warriors,"$1,600,000",1,26,71,0,18.2,2.6,6.6,0.403,1.2,3,0.38,1.5,3.5,0.424,1.1,1.2,0.905,0.5,1.5,1.9,2.1,1,0,1.1,2,7.5,1289,13.4,0.531,0.491,0.18,0.464,3,9.2,6.1,18.3,2.8,0.2,13.9,19.9,106,108,1.4,1,2.4,0.089
2007-2008,Emeka Okafor,Center,Phoenix Suns,"$9,537,500",6,25,82,82,33.1,5.6,10.5,0.535,0,0,0,5.6,10.5,0.535,2.6,4.6,0.57,3.1,7.6,10.7,0.9,0.8,1.7,2,2.9,13.8,2718,17.4,0.553,0.535,0.435,0,10.7,26.4,18.5,4.5,1.2,3.9,13.8,20,106,105,2.2,3.6,5.8,0.103
2010-2011,Caron Butler,Forward,Phoenix Suns,"$8,000,000",3,29,29,29,29.9,5.9,13,0.45,1,2.2,0.431,4.9,10.8,0.454,2.3,3,0.773,0.8,3.3,4.1,1.6,1,0.3,1.7,2,15,867,14.2,0.523,0.487,0.233,0.172,3.1,12.5,8,9.1,1.7,0.7,10.5,25.1,100,106,0.2,1,1.2,0.067
2011-2012,Goran Dragic,Guard,Phoenix Suns,"$7,500,000",4,25,66,28,26.5,4.2,9.1,0.462,1,3.1,0.337,3.2,6,0.525,2.3,2.9,0.805,0.8,1.7,2.5,5.3,1.3,0.2,2.4,2.5,11.7,1752,18,0.567,0.518,0.317,0.337,3.5,7.7,5.6,32.5,2.5,0.4,18.7,21.8,111,106,3.6,1.5,5.1,0.139
2009-2010,Channing Frye,Center,Phoenix Suns,"$5,200,000",5,26,81,41,27,3.9,8.7,0.451,2.1,4.8,0.439,1.8,3.8,0.466,1.2,1.5,0.81,0.8,4.5,5.3,1.4,0.8,0.9,0.9,3.2,11.2,2190,15,0.598,0.573,0.172,0.558,3.6,17.6,11,7.4,1.5,2.4,8.8,16.7,120,108,4.3,2.2,6.4,0.141
2011-2012,Gerald Green,Forward,Phoenix Suns,"$3,500,000",3,26,31,2,25.2,5,10.3,0.481,1.4,3.5,0.391,3.6,6.8,0.529,1.6,2.1,0.754,0.5,3,3.5,1.1,0.9,0.5,1.8,2.6,12.9,781,15.8,0.574,0.548,0.203,0.344,2.2,14.2,8,8.5,1.9,1.7,13.6,23.6,103,109,0.8,0.4,1.2,0.072
2010-2011,Kobe Bryant,Guard,Los Angeles Lakers,"$25,244,493",3,32,82,82,33.9,9,20,0.451,1.4,4.3,0.323,7.6,15.6,0.487,5.9,7.1,0.828,1,4.1,5.1,4.7,1.2,0.1,3,2.1,25.3,2779,23.9,0.548,0.487,0.356,0.217,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,111,105,6.8,3.5,10.3,0.178
2010-2011,Pau Gasol,Center,Los Angeles Lakers,"$18,714,150",3,30,82,82,37,7.2,13.7,0.529,0,0,0.333,7.2,13.6,0.53,4.3,5.2,0.823,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8,3037,23.3,0.589,0.53,0.384,0.003,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,123,103,10,4.7,14.7,0.232
2011-2012,Steve Nash,Guard,Los Angeles Lakers,"$8,900,000",3,37,62,62,31.6,4.8,9,0.532,0.9,2.3,0.39,3.9,6.7,0.58,2,2.3,0.894,0.4,2.6,3,10.7,0.6,0.1,3.7,0.9,12.5,1961,20.3,0.625,0.581,0.256,0.254,1.5,9.1,5.3,53.1,1,0.3,27.1,19.6,115,110,5.2,0.6,5.9,0.144
