Year,Player,Position,Team,Salary,Length of Contract,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_1,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
2012-2013,Earl Clark,Forward,Cleveland Cavaliers,"$4,250,000",2,25,59,36,23.1,2.9,6.5,0.44,0.6,1.8,0.337,2.3,4.8,0.479,0.9,1.3,0.697,1.4,4.1,5.5,1.1,0.6,0.7,1.1,1.7,7.3,1363,12.4,0.51,0.486,0.197,0.269,6.8,19.1,13.1,7.4,1.3,2.3,12.9,15.7,103,105,0.7,1.5,2.3,0.08
2011-2012,Alonzo Gee,Guard,Cleveland Cavaliers,"$3,500,000",3,24,63,31,29,3.6,8.7,0.412,0.7,2.2,0.321,2.9,6.6,0.442,2.7,3.4,0.788,1.6,3.5,5.1,1.8,1.3,0.3,1.8,2.4,10.6,2541,10.5,0.505,0.456,0.276,0.294,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,99,110,0.5,1.5,1.9,0.036
2011-2012,C.J. Miles,Guard,Cleveland Cavaliers,"$2,225,000",2,24,56,14,20.4,3.2,8.3,0.381,0.8,2.7,0.307,2.3,5.6,0.416,1.9,2.4,0.794,0.5,1.6,2.1,1.2,0.8,0.3,0.9,2.2,9.1,1145,12.4,0.484,0.43,0.292,0.323,2.7,9,5.8,9.6,2.1,1.3,9.2,22.7,101,108,0.7,0.8,1.5,0.063
2012-2013,O.J. Mayo,Guard,Milwaukee Bucks,"$8,000,000",3,25,82,82,35.5,5.6,12.5,0.449,1.7,4.3,0.407,3.9,8.3,0.471,2.3,2.8,0.82,0.4,3.1,3.5,4.4,1.1,0.3,2.6,2.4,15.3,2913,13.9,0.556,0.519,0.227,0.34,1.4,9.6,5.6,19.4,1.6,0.6,15.7,20.9,104,109,2.3,1.8,4.2,0.069
2011-2012,Ersan Ilyasova,Forward,Milwaukee Bucks,"$7,900,000",5,24,60,41,27.6,4.9,10,0.492,0.9,1.9,0.455,4.1,8.1,0.501,2.4,3.1,0.781,3.3,5.6,8.8,1.2,0.7,0.7,1.3,2.2,13,1655,20.5,0.577,0.535,0.307,0.188,12.7,22.8,17.6,7,1.3,2,10.1,20.1,118,103,4.4,2,6.4,0.185
2012-2013,Zaza Pachulia,Center,Milwaukee Bucks,"$5,200,000",3,28,52,15,21.8,2.2,4.6,0.473,0,0.1,0,2.2,4.6,0.479,1.5,2,0.757,2.5,3.9,6.5,1.5,0.7,0.2,1.3,2.5,5.9,1134,13.1,0.534,0.473,0.427,0.012,13.5,20.3,17,10.3,1.6,0.8,19.6,14.6,108,104,1.2,1.5,2.7,0.116
2009-2010,Luke Ridnour,Guard,Milwaukee Bucks,"$4,000,000",4,28,82,0,21.5,4,8.4,0.478,0.8,2.2,0.381,3.2,6.2,0.513,1.5,1.7,0.907,0.3,1.5,1.7,4,0.7,0.1,1.3,2.2,10.4,1759,17.7,0.57,0.528,0.204,0.264,1.5,8.1,4.6,31.9,1.6,0.3,12.4,22,116,106,4,2.2,6.2,0.168
2012-2013,Gary Neal,Guard,Milwaukee Bucks,"$3,250,000",2,28,68,17,21.8,3.6,8.8,0.412,1.3,3.7,0.355,2.3,5.1,0.454,0.9,1.1,0.865,0.2,1.9,2.1,1.9,0.4,0,1,1.4,9.5,1484,11.5,0.512,0.487,0.124,0.42,1.1,9.6,5.6,13.5,1,0.1,9.9,21.7,99,106,0.4,1.5,1.9,0.06
2012-2013,Carlos Delfino,Forward,Milwaukee Bucks,"$3,250,000",2,30,67,5,25.2,3.7,9.3,0.405,2.4,6.3,0.375,1.4,3,0.467,0.7,0.8,0.857,0.3,3,3.3,2,1,0.1,1.1,1.7,10.6,1689,13.3,0.549,0.532,0.09,0.679,1.2,13.4,7.4,12.5,2,0.4,10,18.6,109,107,2,1.5,3.5,0.101
2011-2012,Ishmael Smith,Guard,Milwaukee Bucks,"$910,491",3,23,26,1,9,1.2,3.1,0.383,0.1,0.3,0.333,1.1,2.8,0.389,0.3,0.4,0.7,0.3,1.1,1.3,1.6,0.6,0.1,0.5,0.6,2.8,234,14.1,0.422,0.401,0.123,0.111,3.4,13.9,8.6,29.2,3.4,0.7,13.2,19.6,96,103,0,0.3,0.3,0.062
2011-2012,Khris Middleton,Guard,Milwaukee Bucks,"$473,604",3,21,27,0,17.6,2.3,5.2,0.44,0.5,1.7,0.311,1.8,3.6,0.5,1,1.2,0.844,0.1,1.7,1.9,1,0.6,0.1,0.4,2,6.1,75,11.4,0.532,0.489,0.227,0.319,1,11.4,6.1,9.5,1.7,0.7,6.6,15.9,111,110,0.6,0.3,0.9,0.089
2009-2010,Chris Bosh,Center,Miami Heat,"$14,500,000",6,25,70,70,36.1,8.6,16.5,0.518,0.1,0.3,0.364,8.5,16.2,0.521,6.7,8.4,0.797,2.9,7.9,10.8,2.4,0.6,1,2.4,2.4,24,2526,25,0.592,0.522,0.509,0.019,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,117,111,7.9,1.7,9.6,0.182
2009-2010,LeBron James,Forward,Miami Heat,"$14,500,000",6,25,76,76,39,10.1,20.1,0.503,1.7,5.1,0.333,8.4,15,0.56,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1,3.4,1.6,29.7,2966,31.1,0.604,0.545,0.506,0.253,3,18.5,11.1,41.8,2.2,2,12.3,33.5,121,102,13.3,5.2,18.5,0.299
2009-2010,Dwyane Wade,Guard,Miami Heat,"$14,000,000",6,28,77,77,36.3,9.3,19.6,0.476,0.9,3.2,0.3,8.4,16.5,0.509,6.9,9.1,0.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,2792,28,0.562,0.5,0.465,0.161,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,113,103,8.5,4.6,13,0.224
2009-2010,Udonis Haslem,Forward,Miami Heat,"$4,340,000",5,29,78,0,27.9,4,8.1,0.494,0,0,0,4,8.1,0.494,1.9,2.5,0.762,2.1,5.9,8.1,0.7,0.4,0.3,1,2.2,9.9,2177,14.6,0.538,0.494,0.305,0,9.1,24.8,17,3.9,0.7,0.9,9.5,17.1,111,104,2.8,3.2,6,0.132
2010-2011,Mario Chalmers,Guard,Miami Heat,"$4,000,000",3,24,70,28,22.6,2.2,5.5,0.399,1.2,3.3,0.359,1,2.2,0.459,0.8,0.9,0.871,0.2,1.9,2.1,2.5,1.1,0.1,1.3,2.3,6.4,1825,13,0.578,0.549,0.203,0.522,1.1,9.8,5.6,19,2.8,0.5,20.7,17.4,104,101,1.5,2.8,4.3,0.112
2009-2010,Joel Anthony,Center,Miami Heat,"$3,300,000",5,27,80,16,16.5,1,2,0.478,0,0,0,1,2,0.478,0.8,1.2,0.717,1.5,1.6,3.1,0.2,0.3,1.4,0.6,2,2.7,1322,10.2,0.546,0.478,0.579,0,11,11.1,11.1,1.3,0.8,6.7,18.4,8.7,112,103,1,2,3.1,0.111
2010-2011,Shane Battier,Forward,Miami Heat,"$3,000,000",3,32,82,59,29,2.8,6.2,0.45,1.2,3.3,0.382,1.5,3,0.525,0.8,1.1,0.688,1.1,3.5,4.5,2.3,0.8,1,1,1.9,7.6,2375,12.3,0.567,0.55,0.183,0.525,4.4,13.7,9,11.1,1.5,2.4,12.6,11.7,115,108,2.9,2.2,5.1,0.103
2011-2012,Ray Allen,Guard,Miami Heat,"$3,090,000",2,36,46,42,34,4.9,10.7,0.458,2.3,5.1,0.453,2.6,5.6,0.463,2.1,2.3,0.915,0.3,2.8,3.1,2.4,1.1,0.2,1.5,1.8,14.2,1565,14.8,0.607,0.566,0.215,0.475,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,111,101,2.5,2.2,4.7,0.145
2011-2012,Rashard Lewis,Forward,Miami Heat,"$1,352,181",2,32,28,15,26,3,7.9,0.385,0.6,2.4,0.239,2.5,5.5,0.448,1.1,1.3,0.838,1.2,2.7,3.9,1,0.8,0.4,1.1,1.8,7.8,729,9.3,0.457,0.421,0.167,0.303,5.2,11.7,8.4,5.7,1.6,1.1,11.9,16.5,94,108,-0.2,0.4,0.3,0.018
2012-2013,Chris Andersen,Center,Miami Heat,"$1,399,507",2,34,42,0,14.9,1.7,2.9,0.577,0,0.1,0.667,1.6,2.9,0.575,1.5,2.2,0.677,1.4,2.7,4.1,0.4,0.4,1,0.6,2.1,4.9,624,17.4,0.631,0.585,0.756,0.024,11.9,21.5,17,4,1.4,5.8,12.8,14.4,125,100,1.6,1.1,2.7,0.207
2009-2010,Greg Oden,Center,Miami Heat,"$1,027,424",1,22,21,21,23.9,4.4,7.2,0.605,0,0,0,4.4,7.2,0.605,2.3,3,0.766,3,5.4,8.5,0.9,0.4,2.3,1.9,4,11.1,502,23.1,0.647,0.605,0.421,0,15.6,28.3,21.9,6.7,0.9,7.7,17.8,20.7,118,100,1.3,1,2.2,0.214
2012-2013,Michael Beasley,Forward,Miami Heat,"$1,027,424",1,24,75,20,20.7,4.1,10.2,0.405,0.6,1.9,0.313,3.5,8.3,0.426,1.3,1.7,0.746,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,10.1,1554,10.8,0.462,0.434,0.164,0.188,3.7,17.2,10.3,12.5,1,1.6,14.9,27.6,87,109,-2.5,1,-1.5,-0.047
2011-2012,Jarvis Varnado,Forward,Miami Heat,"$473,604",1,24,13,0,4.5,0.2,0.5,0.429,0,0,0,0.2,0.5,0.429,0.2,0.3,0.5,0.2,0.5,0.7,0.2,0.1,0.2,0.5,0.8,0.6,58,1.2,0.457,0.429,0.571,0,4.4,14,9.4,7.2,0.9,2.8,40.7,12.1,68,105,-0.1,0.1,-0.1,-0.059
2010-2011,Al Horford,Center,Atlanta Hawks,"$9,658,537",4,24,77,77,35.1,6.7,12,0.557,0,0.1,0.5,6.6,11.9,0.557,1.9,2.4,0.798,2.4,7,9.3,3.5,0.8,1,1.5,2.5,15.3,2704,20.7,0.587,0.558,0.204,0.004,8.2,23.7,16,17.5,1.2,2.3,10.6,19.7,118,105,6.4,3.7,10.1,0.179
2012-2013,Paul Millsap,Forward,Atlanta Hawks,"$9,500,000",2,27,78,78,30.4,5.5,11.2,0.49,0.2,0.5,0.333,5.3,10.7,0.498,3.4,4.6,0.742,2.3,4.8,7.1,2.6,1.3,1,1.8,3,14.6,2375,19.8,0.55,0.498,0.407,0.045,8.6,18.8,13.7,14.5,2.3,2.7,11.8,22.4,112,104,4.8,2.9,7.6,0.154
2012-2013,Jeff Teague,Guard,Atlanta Hawks,"$8,000,000",4,24,80,78,32.9,5.5,12.2,0.451,1.1,3.1,0.359,4.4,9.1,0.482,2.5,2.8,0.881,0.3,1.9,2.3,7.2,1.5,0.4,2.9,2.3,14.6,2628,16.8,0.543,0.496,0.232,0.255,1.1,6.7,3.9,36.1,2.3,0.8,17.6,23,106,106,3.5,2.6,6.1,0.111
2012-2013,Kyle Korver,Forward,Atlanta Hawks,"$6,760,563",4,30,65,7,22.6,2.7,6.3,0.432,1.8,4.2,0.435,0.9,2.2,0.426,0.8,1,0.833,0.4,2,2.4,1.7,0.6,0.2,0.8,1.7,8.1,1469,13.6,0.6,0.575,0.16,0.658,2,9.9,6,11.7,1.3,0.7,10.7,15.3,120,101,3.1,2.1,5.3,0.172
2011-2012,Louis Williams,Guard,Atlanta Hawks,"$5,000,000",3,25,64,0,26.3,5,12.2,0.407,1.3,3.6,0.362,3.7,8.6,0.425,3.7,4.6,0.812,0.5,2,2.4,3.5,0.8,0.3,1.1,1.4,14.9,1682,20.2,0.525,0.46,0.373,0.293,2,8.3,5.1,22.4,1.7,0.8,7.2,27.4,110,102,3.9,2.2,6.1,0.174
2012-2013,Elton Brand,Center,Atlanta Hawks,"$4,000,000",1,33,72,18,21.2,3.1,6.6,0.473,0,0,0,3.1,6.6,0.474,0.9,1.3,0.71,1.8,4.2,6,1,0.7,1.3,0.8,2.7,7.2,1527,15.2,0.499,0.473,0.195,0.002,9.7,21.5,15.7,7.1,1.7,4.6,9.9,17.2,105,102,1.2,2.2,3.4,0.107
2012-2013,DeMarre Carroll,Forward,Atlanta Hawks,"$2,557,545",2,26,66,12,16.8,2.3,4.9,0.46,0.3,1.1,0.286,2,3.8,0.508,1.1,1.5,0.765,1.3,1.5,2.8,0.9,0.9,0.4,0.5,1.8,6,1111,15.5,0.535,0.491,0.302,0.216,9.1,10.8,9.9,8.7,2.8,1.7,8.5,16.4,115,106,2,1.1,3.1,0.134
2011-2012,Jeremy Tyler,Center,Atlanta Hawks,"$884,293",2,20,42,23,13.5,2.1,5,0.421,0,0,0,2.1,5,0.423,0.7,1.2,0.558,1.3,2,3.3,0.4,0.4,0.5,0.9,2,4.9,568,10.4,0.442,0.421,0.249,0.005,10.8,17.1,14,4.5,1.5,2.7,13.4,21.8,89,108,-0.5,0.4,-0.2,-0.014
2012-2013,Al Jefferson,Center,Charlotte Bobcats,"$13,500,000",3,28,78,78,33.1,7.8,15.8,0.494,0,0.2,0.118,7.8,15.6,0.5,2.1,2.8,0.77,2,7.2,9.2,2.1,1,1.1,1.3,2.2,17.8,2578,20.9,0.522,0.495,0.176,0.014,7,25.9,16.3,12,1.6,2.7,7.3,25.3,109,104,4.3,3.3,7.7,0.143
2008-2009,Ben Gordon,Guard,Charlotte Bobcats,"$10,000,000",5,25,82,76,36.6,7.3,16,0.455,2.1,5.1,0.41,5.2,10.9,0.476,4,4.7,0.864,0.6,2.8,3.5,3.4,0.9,0.3,2.4,2.2,20.7,2999,17,0.573,0.521,0.29,0.321,2,8.8,5.4,15.9,1.2,0.5,11.9,25,112,112,5.2,1.7,6.9,0.11
2012-2013,Gerald Henderson,Guard,Charlotte Bobcats,"$6,000,000",3,25,68,58,31.4,5.6,12.6,0.447,0.5,1.5,0.33,5.1,11.1,0.462,3.8,4.6,0.824,0.8,2.9,3.7,2.6,1,0.5,1.6,2.2,15.5,2133,16.4,0.531,0.466,0.366,0.117,2.9,10.8,6.7,15.6,1.7,1.3,9.8,23.5,107,113,2.9,0.3,3.3,0.073
2011-2012,Ramon Sessions,Guard,Charlotte Bobcats,"$5,000,000",2,25,64,23,26.7,3.8,8.8,0.428,0.7,1.5,0.443,3.1,7.3,0.425,3,3.9,0.782,0.5,2.8,3.3,5.5,0.7,0,2.2,1.6,11.3,1707,16.7,0.535,0.466,0.439,0.172,2.2,12,7.1,35.5,1.4,0.1,17.3,21.6,108,109,2.9,0.8,3.7,0.104
2012-2013,Josh McRoberts,Forward,Charlotte Bobcats,"$2,652,000",2,25,67,22,22.2,2.3,5.1,0.455,0.4,1.3,0.286,2,3.9,0.51,1,1.3,0.765,1.4,3.5,4.9,2.1,0.5,0.4,1,2,6,1487,12.7,0.527,0.49,0.248,0.245,7,18.1,12.4,14.8,1.1,1.4,14.8,13.7,109,110,1.5,0.7,2.2,0.072
2011-2012,Brendan Haywood,Center,Charlotte Bobcats,"$2,050,000",4,32,54,54,21.2,2.2,4.2,0.518,0,0,0,2.2,4.2,0.518,0.8,1.8,0.469,2.6,3.4,6,0.4,0.4,1,0.9,2.2,5.2,1146,12.9,0.52,0.518,0.421,0,13.7,18,15.9,2.6,1.1,3.8,14.5,12.8,107,101,1.1,1.6,2.7,0.114
2012-2013,Jannero Pargo,Guard,Charlotte Bobcats,"$1,399,507",1,33,32,0,15.8,2.4,6.6,0.368,1.2,3.6,0.336,1.2,3,0.406,0.4,0.4,0.923,0.3,0.8,1.1,2.1,0.6,0.1,1.3,1.3,6.5,507,10.3,0.475,0.46,0.061,0.547,2.2,5.7,3.9,22.8,1.9,0.5,15.8,23.3,92,111,-0.4,0.2,-0.2,-0.017
2012-2013,Anthony Tolliver,Forward,Charlotte Bobcats,"$1,027,424",1,27,62,11,15.5,1.3,3.5,0.38,0.7,2.1,0.338,0.6,1.3,0.446,0.7,0.8,0.863,0.5,2,2.5,0.5,0.2,0.2,0.6,1.1,4.1,963,8.4,0.531,0.484,0.236,0.616,3.7,14.5,9.2,4.8,0.8,1,13.1,13.2,102,107,0.3,0.9,1.2,0.059
2010-2011,Jeff Adrien,Forward,Charlotte Bobcats,"$653,356",2,24,23,0,8.5,1,2.3,0.426,0,0,0,1,2.3,0.426,0.5,0.8,0.579,1,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5,196,11.3,0.457,0.426,0.352,0,13,20.7,16.8,7.3,1,1.9,12.6,16.1,102,110,0.1,0.1,0.2,0.051
2010-2011,Nene,Center,Washington Wizards,"$13,000,000",5,28,75,75,30.5,5.4,8.7,0.615,0,0.1,0.2,5.3,8.7,0.618,3.8,5.4,0.711,1.9,5.7,7.6,2,1.1,1,1.8,3.2,14.5,2291,20.4,0.657,0.615,0.615,0.008,7.5,20.8,14.4,10.4,1.8,2.4,13.9,18.8,123,104,6.4,3.1,9.6,0.201
2008-2009,Trevor Ariza,Forward,Washington Wizards,"$5,854,000",5,23,82,20,24.4,3.3,7.3,0.46,0.7,2.3,0.319,2.6,4.9,0.526,1.5,2.1,0.71,1.4,2.9,4.3,1.8,1.7,0.3,1.1,2,8.9,1999,15.5,0.544,0.511,0.284,0.32,6.4,13.4,10,10.4,3.5,0.9,11.5,16.6,112,102,2.5,3.5,6.1,0.146
2012-2013,Martell Webster,Forward,Washington Wizards,"$5,150,000",4,26,76,62,28.9,3.7,8.4,0.442,1.8,4.3,0.422,1.9,4,0.463,2.2,2.6,0.848,0.7,3.2,3.9,1.9,0.6,0.2,1.2,2.2,11.4,2200,13.9,0.601,0.551,0.311,0.517,2.7,12.2,7.4,10.7,1.2,0.6,11.1,16.9,115,106,3.9,2.4,6.3,0.138
2012-2013,Eric Maynor,Guard,Washington Wizards,"$2,016,000",2,25,64,0,15,1.7,4.4,0.377,0.5,1.5,0.354,1.1,2.9,0.389,0.7,1,0.726,0.1,0.6,0.7,2.8,0.3,0,1.2,0.9,4.5,963,9.3,0.472,0.438,0.221,0.342,1.1,4.4,2.8,28.7,1.2,0.1,20.4,18.4,96,112,-0.1,0.3,0.2,0.008
2012-2013,Al Harrington,Center,Washington Wizards,"$1,399,507",1,32,10,0,11.9,2,5.7,0.351,0.8,3,0.267,1.2,2.7,0.444,0.3,0.4,0.75,0.6,2.1,2.7,1,0.4,0.1,0.7,1.8,5.1,119,10.3,0.434,0.421,0.07,0.526,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,90,107,-0.1,0.1,0,-0.012
2012-2013,Garrett Temple,Guard,Washington Wizards,"$916,099",1,26,51,36,22.7,2.1,5.1,0.407,0.5,1.6,0.325,1.5,3.5,0.444,0.5,0.7,0.703,0.6,1.8,2.4,2.3,1,0.3,1.2,1.8,5.1,1156,8.8,0.478,0.457,0.143,0.31,2.8,9.1,5.9,15.5,2.3,1.2,18.2,13.2,94,104,-0.3,1.5,1.2,0.049
2008-2009,Hedo Turkoglu,Forward,Orlando Magic,"$9,000,000",5,29,77,77,36.6,5.5,13.3,0.413,1.7,4.9,0.356,3.8,8.4,0.445,4.1,5.1,0.807,0.6,4.7,5.3,4.9,0.8,0.2,2.6,2.8,16.8,2815,14.8,0.541,0.478,0.38,0.367,1.8,14.2,8.2,22.5,1.2,0.5,14.6,23,107,104,3,4.4,7.3,0.125
2011-2012,Jameer Nelson,Guard,Orlando Magic,"$8,600,000",3,29,57,57,29.9,4.5,10.6,0.427,1.5,4.1,0.377,3,6.6,0.459,1.2,1.5,0.807,0.5,2.7,3.2,5.7,0.7,0.1,2.4,2.3,11.9,1706,14.6,0.524,0.499,0.145,0.381,1.9,10.4,6.1,34,1.2,0.2,17.3,21.4,106,107,2.3,1.2,3.5,0.099
2010-2011,Arron Afflalo,Guard,Orlando Magic,"$5,885,671",5,25,69,69,33.7,4.5,9.1,0.498,1.5,3.6,0.423,3,5.5,0.546,2,2.4,0.847,0.7,3,3.6,2.4,0.5,0.4,1,2.2,12.6,2324,13.6,0.62,0.581,0.26,0.396,2.3,9.9,6.2,10.9,0.7,1,9.2,14.8,123,111,4.8,1.4,6.2,0.128
2010-2011,Glen Davis,Center,Orlando Magic,"$5,070,732",4,25,78,13,29.5,4.6,10.3,0.448,0,0.2,0.133,4.6,10.1,0.454,2.5,3.4,0.736,1.3,4.2,5.4,1.2,1,0.4,1.1,3,11.7,2298,12.8,0.499,0.449,0.331,0.019,5.7,16.4,11.4,6.6,1.8,1,8.5,20.9,101,100,0.6,4.3,4.9,0.102
2012-2013,Jason Maxiell,Forward,Orlando Magic,"$2,500,000",2,29,72,71,24.8,2.8,6.3,0.446,0,0,0,2.8,6.3,0.446,1.3,2,0.621,1.9,3.8,5.7,0.8,0.4,1.3,1.1,2.4,6.9,1789,11.3,0.478,0.446,0.317,0,8.5,18,13.2,4.7,0.9,4.2,13.5,15.3,98,107,0.1,1.7,1.8,0.047
2012-2013,Ronnie Price,Guard,Orlando Magic,"$1,265,977",2,29,39,0,13.1,1,3.1,0.325,0.3,1,0.256,0.7,2.1,0.358,0.4,0.6,0.708,0.3,0.8,1.1,1.9,0.7,0.1,0.9,1.6,2.7,510,6.8,0.402,0.367,0.2,0.325,2.9,7.2,5,21,2.7,0.4,20.7,14.8,88,109,-0.5,0.3,-0.2,-0.017
2012-2013,Kris Humphries,Forward,Boston Celtics,"$12,000,000",2,26,62,62,34.9,5.2,10.8,0.481,0,0,0,5.2,10.8,0.481,3.4,4.5,0.752,3.8,7.2,11,1.5,0.8,1.2,1.9,2.8,13.8,2162,17.9,0.539,0.481,0.414,0,12.2,24.8,18.3,7.4,1.2,2.6,13,19.3,110,106,3.6,1.7,5.3,0.118
2012-2013,Rajon Rondo,Guard,Boston Celtics,"$11,954,545",2,26,38,38,37.4,5.9,12.2,0.484,0.3,1.3,0.24,5.6,10.9,0.513,1.6,2.4,0.645,1.1,4.4,5.6,11.1,1.8,0.2,3.9,2.5,13.7,1423,18.1,0.516,0.497,0.2,0.108,3.7,13.6,8.8,49.3,2.6,0.5,22.6,21.7,103,103,1.2,2,3.2,0.108
2011-2012,Gerald Wallace,Forward,Boston Celtics,"$9,682,435",4,29,58,58,35.8,4.9,10.9,0.454,0.8,2.6,0.307,4.2,8.3,0.5,3.1,3.9,0.8,1.5,5.2,6.7,2.8,1.5,0.6,1.9,2.5,13.8,2076,15.9,0.547,0.491,0.356,0.237,4.8,17.2,10.8,13.2,2.2,1.3,13.2,18.6,109,106,3,1.8,4.8,0.112
2010-2011,Jeff Green,Forward,Boston Celtics,"$8,100,000",4,24,75,51,32.4,4.9,10.9,0.449,0.9,2.8,0.303,4.1,8.1,0.499,2.6,3.3,0.811,1,3.8,4.8,1.4,0.7,0.5,1.3,2.8,13.3,612,12.9,0.553,0.505,0.312,0.134,3.4,13.3,8.6,5.1,1.1,2,9.1,19.8,106,102,0.5,1,1.5,0.118
2011-2012,Brandon Bass,Forward,Boston Celtics,"$6,000,000",3,26,59,39,31.7,5.1,10.7,0.479,0,0,0,5.1,10.7,0.479,2.2,2.8,0.81,1.6,4.6,6.2,0.9,0.6,0.9,1.1,2.3,12.5,1868,14.1,0.524,0.479,0.258,0,6.3,16.3,11.5,5.1,1,2.2,8.5,19.8,103,99,1.5,3.2,4.7,0.122
2011-2012,Courtney Lee,Guard,Boston Celtics,"$5,000,000",4,26,58,26,30.3,4.3,10,0.433,1.5,3.7,0.401,2.8,6.3,0.452,1.2,1.5,0.826,0.4,2.3,2.7,1.5,1.2,0.4,1.1,1.8,11.4,1757,12.6,0.534,0.508,0.148,0.374,1.7,8.9,5.2,7.9,2,0.9,9.4,17.6,106,107,1.8,1.4,3.2,0.087
2012-2013,Keith Bogans,Guard,Boston Celtics,"$5,058,198",3,32,74,23,19,1.5,3.8,0.38,1.1,3.3,0.343,0.3,0.5,0.615,0.1,0.2,0.647,0.2,1.4,1.6,1,0.4,0.1,0.7,1.5,4.2,1408,6.7,0.533,0.528,0.06,0.863,1.3,8.8,5,8.1,1.1,0.2,14.4,11.2,105,110,0.7,0.7,1.4,0.047
2009-2010,Rudy Gay,Forward,Toronto Raptors,"$17,888,932",5,23,80,80,39.7,7.5,16.1,0.466,0.8,2.5,0.327,6.7,13.6,0.492,3.8,5,0.753,1.4,4.5,5.9,1.9,1.5,0.8,2.1,2.5,19.6,3175,16.2,0.535,0.491,0.311,0.157,4.2,13.2,8.7,7.8,1.9,1.5,10.3,22.5,109,110,4,2.4,6.4,0.096
2012-2013,DeMar DeRozan,Guard,Toronto Raptors,"$9,500,000",4,23,82,82,36.7,6.7,15,0.445,0.4,1.5,0.283,6.3,13.5,0.463,4.3,5.2,0.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,2.1,18.1,3013,14.7,0.523,0.459,0.347,0.097,1.9,10.9,6.3,12,1.3,0.6,9.6,24.2,105,110,3.1,1.6,4.7,0.075
2009-2010,Amir Johnson,Forward,Toronto Raptors,"$5,000,000",5,22,82,5,17.7,2.5,4.1,0.623,0,0,0,2.5,4,0.63,1.2,1.8,0.638,1.9,2.9,4.8,0.6,0.5,0.8,0.8,3.1,6.2,1453,16.7,0.639,0.623,0.446,0.012,12.9,19.1,16.1,5,1.6,3.5,13.6,14.5,124,110,3.4,1.1,4.5,0.15
2011-2012,Landry Fields,Forward,Toronto Raptors,"$6,250,000",3,23,66,62,28.7,3.6,7.8,0.46,0.5,1.8,0.256,3.1,5.9,0.523,1.2,2.1,0.562,0.9,3.3,4.2,2.6,1.2,0.3,1.5,1.5,8.8,1894,12,0.506,0.49,0.267,0.236,3.6,13.5,8.5,14.5,2.1,0.7,15.1,16,100,102,0.8,2.6,3.4,0.085
2009-2010,Kyle Lowry,Guard,Toronto Raptors,"$5,750,000",4,23,68,0,24.3,2.7,6.8,0.397,0.5,2,0.272,2.2,4.8,0.448,3.2,3.8,0.827,1.3,2.3,3.6,4.5,0.9,0.1,1.7,2.5,9.1,1651,15.5,0.536,0.436,0.56,0.293,6.1,11.2,8.6,27.7,1.9,0.4,16.7,18.6,113,109,2.9,1.4,4.3,0.126
2012-2013,Marcus Camby,Forward,Toronto Raptors,"$2,763,054",2,38,24,4,10.4,0.7,2.2,0.321,0,0,0,0.7,2.2,0.321,0.3,0.8,0.421,1,2.3,3.3,0.6,0.3,0.6,0.6,1.2,1.8,250,8.6,0.342,0.321,0.358,0,10.9,27.1,18.7,8.1,1.5,4.8,19.6,14.3,82,101,-0.4,0.4,0,0.007
2011-2012,Steve Novak,Forward,Toronto Raptors,"$4,054,055",4,28,54,0,18.9,3,6.2,0.478,2.5,5.2,0.472,0.5,1,0.509,0.4,0.5,0.846,0.2,1.8,1.9,0.2,0.3,0.2,0.4,1.1,8.8,1020,15.9,0.684,0.675,0.077,0.837,1,10.9,5.9,2,0.8,0.7,5.7,16.2,129,105,2.9,0.9,3.9,0.181
2012-2013,Tyler Hansbrough,Forward,Toronto Raptors,"$3,183,000",2,27,81,8,16.9,2.2,5,0.432,0,0,0,2.2,5,0.436,2.7,3.7,0.72,2,2.6,4.6,0.4,0.4,0.2,1,1.9,7,1366,15.3,0.527,0.432,0.737,0.007,13.4,17,15.2,4.4,1.1,1,12.6,20.6,110,101,2.1,2.2,4.4,0.154
2011-2012,Aaron Gray,Center,Toronto Raptors,"$2,575,000",2,27,49,40,16.6,1.7,3.3,0.516,0,0,0,1.7,3.3,0.516,0.5,1,0.532,1.7,4,5.7,0.6,0.4,0.3,1,2.6,3.9,813,11.1,0.526,0.516,0.292,0,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,98,100,0.1,1.3,1.4,0.082
